merk,type,price,detail,kursi,CC,BBM,link_img
BMW,3 Series Sedan 330i M Sport,112000000,"5 Kursi, 1998 cc, 258 hp, Bensin",5 Kursi,1998 cc,Bensin,https://imgcdn.oto.com/large/gallery/exterior/3/2195/bmw-3-series-sedan-2019-front-angle-low-view-862431.jpg
BMW,M8 Coupe M8 Coupe Competition,778000000,"4 Kursi, 4395 cc, 625 hp, Bensin",4 Kursi,4395 cc,Bensin,https://imgcdn.oto.com/large/gallery/exterior/3/2418/bmw-m8-coupe-front-angle-low-view-622939.jpg
BMW,2 Series Gran Coupe 218i,811000000,"5 Kursi, 1499 cc, 140 hp, Bensin",5 Kursi,1499 cc,Bensin,https://imgcdn.oto.com/large/gallery/exterior/3/2574/bmw-2-series-gran-coupe-front-angle-low-view-172997.jpg
BMW,X1 sDrive18i Dynamic,830000000,"5 Kursi, 1499 cc, 140 hp, Bensin",5 Kursi,1499 cc,Bensin,https://imgcdn.oto.com/large/gallery/exterior/3/2251/bmw-x1-2019-front-angle-low-view-487580.jpg
BMW,X1 sDrive18i M Sport,920000000,"5 Kursi, 1499 cc, 140 hp, Bensin",5 Kursi,1499 cc,Bensin,https://imgcdn.oto.com/large/gallery/exterior/3/2251/bmw-x1-2019-front-angle-low-view-487580.jpg
BMW,M8 Gran Coupe Coupe Competition,772000000,"4 Kursi, 4395 cc, 625 hp, Bensin",4 Kursi,4395 cc,Bensin,https://imgcdn.oto.com/large/gallery/exterior/3/2575/bmw-m8-gran-coupe-front-angle-low-view-478918.jpg
BMW,X5 xDrive40i xLine,182000000,"5 Kursi, 2998 cc, 335 hp, Bensin",5 Kursi,2998 cc,Bensin,https://imgcdn.oto.com/large/gallery/exterior/3/2150/bmw-x5-front-angle-low-view-279111.jpg
BMW,Z4 sDrive30i M Sport,164000000,"2 Kursi, 1998 cc, 257 hp, Bensin",2 Kursi,1998 cc,Bensin,https://imgcdn.oto.com/large/gallery/exterior/3/2151/bmw-z4-front-angle-low-view-833934.jpg
Mercedes,Benz CLS-Class 350 AMG Line,178000000,"4 Kursi, 1998 cc, 299 hp, Bensin",4 Kursi,1998 cc,Bensin,https://imgcdn.oto.com/large/gallery/exterior/25/206/mercedes-benz-cls-class-front-angle-low-view-973788.jpg
Mercedes,Benz AMG GT 53 4Matic+ 4 Door Coupe,272000000,"4 Kursi, 429 hp, Otomatis, Bensin",4 Kursi,429 hp,Bensin,https://imgcdn.oto.com/large/gallery/exterior/25/902/mercedes-benz-amg-gt-front-angle-low-view-182635.jpg
Mercedes,Benz AMG GT S,548000000,"2 Kursi, 3982 cc, 503 hp, Bensin",2 Kursi,3982 cc,Bensin,https://imgcdn.oto.com/large/gallery/exterior/25/902/mercedes-benz-amg-gt-front-angle-low-view-182635.jpg
